Freq.	I(V2)
1.00000000000000e+002	1.04824553135056e-006,-7.49217096536529e-012
1.10000000000000e+002	1.04824553134032e-006,-8.24138806182849e-012
1.20000000000000e+002	1.04824553132910e-006,-8.99060515827063e-012
1.30000000000000e+002	1.04824553131700e-006,-9.73982225469159e-012
1.40000000000000e+002	1.04824553130387e-006,-1.04890393510869e-011
1.50000000000000e+002	1.04824553128982e-006,-1.12382564474570e-011
1.60000000000000e+002	1.04824553127468e-006,-1.19874735437962e-011
1.70000000000000e+002	1.04824553125871e-006,-1.27366906401080e-011
1.80000000000000e+002	1.04824553124167e-006,-1.34859077363857e-011
1.90000000000000e+002	1.04824553122373e-006,-1.42351248326311e-011
2.00000000000000e+002	1.04824553120474e-006,-1.49843419288384e-011
